bid_datetime_beginning_utc,bid_datetime_beginning_ept,unit_code,bid_slope_flag,mw1,mw2,mw3,mw4,mw5,mw6,mw7,mw8,mw9,mw10,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,no_load_cost,cold_start_cost,inter_start_cost,hot_start_cost,max_daily_starts,min_runtime,max_ecomax,min_ecomax,avg_ecomax,max_ecomin,min_ecomin,avg_ecomin
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAILAAUBBwEBMS45NjY3MjEwMQ,False,40.00,,,,,,,,,,70.00,,,,,,,,,,0.00,15000.00,11000.00,9700.00,2,4.00,40.00,40.00,40.00,40.00,40.00,40.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BAEDAA8IAAEaOTY2ODIxMDE,False,4.40,,,,,,,,,,0.00,,,,,,,,,,0.00,0.00,0.00,0.00,99999,,4.40,4.40,4.40,4.40,4.40,4.40
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BAEDAA8IAA8aOTY2OTMxMDE,False,2.00,,,,,,,,,,0.00,,,,,,,,,,0.00,0.00,0.00,0.00,12,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BQcGAgMBBwEaOTY3MTAxMDE,False,40.00,,,,,,,,,,0.00,,,,,,,,,,0.00,0.00,0.00,0.00,3,4.00,20.00,20.00,20.00,20.00,20.00,20.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAEEDQQODgIDNi45NjcyMDEwMQ,True,1.00,1031.00,1419.00,1420.00,1681.00,,,,,,14.08,16.14,17.98,24.08,24.08,,,,,,4682.73,46712.03,46712.03,28441.18,1,24.00,1593.00,1593.00,1593.00,1043.00,1043.00,1043.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAELDAAJAgICMC45NjczOTAwMQ,True,1.00,20.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,99999,,0.00,0.00,0.00,0.00,0.00,0.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAoFDQcBAwAAMy45Njc0OTAwMQ,False,1.00,20.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,99999,,0.00,0.00,0.00,0.00,0.00,0.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AwIHBQ8BBgUGNy45Njc1OTAwMQ,False,1.00,15.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,99999,,0.00,0.00,0.00,0.00,0.00,0.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,CAoAAwYMAA8aOTY3NzMxMDE,False,1.20,3.00,3.70,,,,,,,,1.00,152.00,180.00,,,,,,,,0.00,130.28,101.14,89.49,2,2.00,3.00,3.00,3.00,1.20,1.20,1.20
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAEGAgcOBQ4DNS45Njc5OTAwMQ,False,1.00,75.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,99999,,0.00,0.00,0.00,0.00,0.00,0.00
